Sample,Donor,Sample_type,score,proximity,model,standardized_beta,n_cells,n_fovs
118T,Donor118,T,core13,epi_k20,unadjusted,0.2022470137840415,1127,13
118T,Donor118,T,core13,epi_k20,adjusted,-0.0036368700673164,1127,13
130T,Donor130,T,core13,epi_k20,unadjusted,0.0362806132550494,488,15
130T,Donor130,T,core13,epi_k20,adjusted,-0.1276352516448474,488,15
137T,Donor137,T,core13,epi_k20,unadjusted,0.1522501405160746,1715,17
137T,Donor137,T,core13,epi_k20,adjusted,0.0758570689050373,1715,17
142T,Donor142,T,core13,epi_k20,unadjusted,0.1175791577802955,1285,15
142T,Donor142,T,core13,epi_k20,adjusted,0.0713638815369158,1285,15
150T,Donor150,T,core13,epi_k20,unadjusted,0.1163838249315003,1290,14
150T,Donor150,T,core13,epi_k20,adjusted,0.0026516418914569,1290,14
170T,Donor170,T,core13,epi_k20,unadjusted,0.090756749856854,933,21
170T,Donor170,T,core13,epi_k20,adjusted,-0.048304185410557,933,21
278T,Donor278,T,core13,epi_k20,unadjusted,-0.0121743381144122,738,16
278T,Donor278,T,core13,epi_k20,adjusted,0.0206094578480124,738,16
280T,Donor280,T,core13,epi_k20,unadjusted,-0.1200564642009364,384,13
280T,Donor280,T,core13,epi_k20,adjusted,-0.1221666265751068,384,13
46T,Donor46,T,core13,epi_k20,unadjusted,7.928899236134383e-05,636,14
46T,Donor46,T,core13,epi_k20,adjusted,-0.1505859790001602,636,14
64T,Donor64,T,core13,epi_k20,unadjusted,0.1698820800468042,2188,20
64T,Donor64,T,core13,epi_k20,adjusted,-0.0064210825081732,2188,20
67T,Donor67,T,core13,epi_k20,unadjusted,0.0511492124892291,3225,27
67T,Donor67,T,core13,epi_k20,adjusted,-0.0461352399396804,3225,27
73T,Donor73,T,core13,epi_k20,unadjusted,0.0455358350964534,1828,31
73T,Donor73,T,core13,epi_k20,adjusted,0.0017965611968149,1828,31
74T,Donor74,T,core13,epi_k20,unadjusted,0.1815133354108455,1307,15
74T,Donor74,T,core13,epi_k20,adjusted,0.0089938864007321,1307,15
7T,Donor7,T,core13,epi_k20,unadjusted,0.2324363407881474,865,15
7T,Donor7,T,core13,epi_k20,adjusted,0.0880217467787721,865,15
92T,Donor92,T,core13,epi_k20,unadjusted,0.2618619354749237,1286,16
92T,Donor92,T,core13,epi_k20,adjusted,0.0810660796621137,1286,16
