Sample,Donor,Sample_type,score,proximity,model,standardized_beta,n_cells,n_fovs
118N,Donor118,N,core13,epi_k20,unadjusted,0.22129642799139088,718,9
118N,Donor118,N,core13,epi_k20,adjusted,0.1928925584998632,718,9
118N,Donor118,N,core13,nearest_epi,unadjusted,0.23775411439480892,718,9
118N,Donor118,N,core13,nearest_epi,adjusted,0.2026062828623468,718,9
118N,Donor118,N,core13,epithelial_mass_k20,unadjusted,0.14839314696606948,718,9
118N,Donor118,N,core13,epithelial_mass_k20,adjusted,0.1138540163990252,718,9
118N,Donor118,N,core13,nearest_epithelial_mass,unadjusted,0.1757495874033129,718,9
118N,Donor118,N,core13,nearest_epithelial_mass,adjusted,0.11963254832356257,718,9
118N,Donor118,N,noncytokine8,epi_k20,unadjusted,0.26911844961948983,718,9
118N,Donor118,N,noncytokine8,epi_k20,adjusted,0.2260538773805877,718,9
118N,Donor118,N,noncytokine8,nearest_epi,unadjusted,0.26479956355134476,718,9
118N,Donor118,N,noncytokine8,nearest_epi,adjusted,0.2113558759498621,718,9
118N,Donor118,N,noncytokine8,epithelial_mass_k20,unadjusted,0.1981119206634124,718,9
118N,Donor118,N,noncytokine8,epithelial_mass_k20,adjusted,0.15063828373413216,718,9
118N,Donor118,N,noncytokine8,nearest_epithelial_mass,unadjusted,0.2333087324009866,718,9
118N,Donor118,N,noncytokine8,nearest_epithelial_mass,adjusted,0.16607437132022823,718,9
118N,Donor118,N,three_gene,epi_k20,unadjusted,0.04794933353059912,718,9
118N,Donor118,N,three_gene,epi_k20,adjusted,0.11251621480842777,718,9
118N,Donor118,N,three_gene,nearest_epi,unadjusted,0.016193302049059336,718,9
118N,Donor118,N,three_gene,nearest_epi,adjusted,0.054307902747488354,718,9
118N,Donor118,N,three_gene,epithelial_mass_k20,unadjusted,-0.005059026353248982,718,9
118N,Donor118,N,three_gene,epithelial_mass_k20,adjusted,0.03502411210785338,718,9
118N,Donor118,N,three_gene,nearest_epithelial_mass,unadjusted,0.03972233950714819,718,9
118N,Donor118,N,three_gene,nearest_epithelial_mass,adjusted,0.08937109910660351,718,9
118T,Donor118,T,core13,epi_k20,unadjusted,0.20224701378404156,1127,13
118T,Donor118,T,core13,epi_k20,adjusted,-0.0036368700673164805,1127,13
118T,Donor118,T,core13,nearest_epi,unadjusted,0.1753365234527863,1127,13
118T,Donor118,T,core13,nearest_epi,adjusted,0.027534547469266438,1127,13
118T,Donor118,T,core13,epithelial_mass_k20,unadjusted,0.14671660693190708,1127,13
118T,Donor118,T,core13,epithelial_mass_k20,adjusted,0.013511157811422503,1127,13
118T,Donor118,T,core13,nearest_epithelial_mass,unadjusted,0.28999888483538777,1127,13
118T,Donor118,T,core13,nearest_epithelial_mass,adjusted,0.046622654201780585,1127,13
118T,Donor118,T,noncytokine8,epi_k20,unadjusted,0.2312375436834251,1127,13
118T,Donor118,T,noncytokine8,epi_k20,adjusted,0.007848780958526414,1127,13
118T,Donor118,T,noncytokine8,nearest_epi,unadjusted,0.19771407315009287,1127,13
118T,Donor118,T,noncytokine8,nearest_epi,adjusted,0.029029289340199292,1127,13
118T,Donor118,T,noncytokine8,epithelial_mass_k20,unadjusted,0.17004825751587874,1127,13
118T,Donor118,T,noncytokine8,epithelial_mass_k20,adjusted,0.02283918150987932,1127,13
118T,Donor118,T,noncytokine8,nearest_epithelial_mass,unadjusted,0.3174131898501962,1127,13
118T,Donor118,T,noncytokine8,nearest_epithelial_mass,adjusted,0.05948360700987564,1127,13
118T,Donor118,T,three_gene,epi_k20,unadjusted,0.18706861611578768,1127,13
118T,Donor118,T,three_gene,epi_k20,adjusted,-0.01741383326526552,1127,13
118T,Donor118,T,three_gene,nearest_epi,unadjusted,0.15039277740343887,1127,13
118T,Donor118,T,three_gene,nearest_epi,adjusted,-0.004641235953757579,1127,13
118T,Donor118,T,three_gene,epithelial_mass_k20,unadjusted,0.1297037916886038,1127,13
118T,Donor118,T,three_gene,epithelial_mass_k20,adjusted,-0.003949055315379326,1127,13
118T,Donor118,T,three_gene,nearest_epithelial_mass,unadjusted,0.26258177783807024,1127,13
118T,Donor118,T,three_gene,nearest_epithelial_mass,adjusted,0.029427831631275127,1127,13
130T,Donor130,T,core13,epi_k20,unadjusted,0.03628061325504944,488,15
130T,Donor130,T,core13,epi_k20,adjusted,-0.12763525164484743,488,15
130T,Donor130,T,core13,nearest_epi,unadjusted,-0.010800330448340289,488,15
130T,Donor130,T,core13,nearest_epi,adjusted,-0.09845020228086267,488,15
130T,Donor130,T,core13,epithelial_mass_k20,unadjusted,0.013286714618001886,488,15
130T,Donor130,T,core13,epithelial_mass_k20,adjusted,-0.04470885770111985,488,15
130T,Donor130,T,core13,nearest_epithelial_mass,unadjusted,-0.023015035220941,488,15
130T,Donor130,T,core13,nearest_epithelial_mass,adjusted,-0.061544828315553676,488,15
130T,Donor130,T,noncytokine8,epi_k20,unadjusted,0.08447714663470042,488,15
130T,Donor130,T,noncytokine8,epi_k20,adjusted,-0.1018434330370805,488,15
130T,Donor130,T,noncytokine8,nearest_epi,unadjusted,0.03374514845298126,488,15
130T,Donor130,T,noncytokine8,nearest_epi,adjusted,-0.08396806131313873,488,15
130T,Donor130,T,noncytokine8,epithelial_mass_k20,unadjusted,0.0290565239906189,488,15
130T,Donor130,T,noncytokine8,epithelial_mass_k20,adjusted,-0.04137972298630228,488,15
130T,Donor130,T,noncytokine8,nearest_epithelial_mass,unadjusted,-0.004856704554636153,488,15
130T,Donor130,T,noncytokine8,nearest_epithelial_mass,adjusted,-0.058234983839797416,488,15
130T,Donor130,T,three_gene,epi_k20,unadjusted,-0.05091810700228531,488,15
130T,Donor130,T,three_gene,epi_k20,adjusted,-0.08643875731994256,488,15
130T,Donor130,T,three_gene,nearest_epi,unadjusted,-0.1281500363187606,488,15
130T,Donor130,T,three_gene,nearest_epi,adjusted,-0.14034876230703516,488,15
130T,Donor130,T,three_gene,epithelial_mass_k20,unadjusted,-0.02484705758561848,488,15
130T,Donor130,T,three_gene,epithelial_mass_k20,adjusted,-0.03153517671773037,488,15
130T,Donor130,T,three_gene,nearest_epithelial_mass,unadjusted,-0.0632057843863419,488,15
130T,Donor130,T,three_gene,nearest_epithelial_mass,adjusted,-0.052035564201701544,488,15
137T,Donor137,T,core13,epi_k20,unadjusted,0.15225014051607466,1715,17
137T,Donor137,T,core13,epi_k20,adjusted,0.07585706890503735,1715,17
137T,Donor137,T,core13,nearest_epi,unadjusted,0.046545100404341094,1715,17
137T,Donor137,T,core13,nearest_epi,adjusted,0.024438275059149545,1715,17
137T,Donor137,T,core13,epithelial_mass_k20,unadjusted,0.0982874518648785,1715,17
137T,Donor137,T,core13,epithelial_mass_k20,adjusted,0.016267698829259124,1715,17
137T,Donor137,T,core13,nearest_epithelial_mass,unadjusted,0.05444502090208571,1715,17
137T,Donor137,T,core13,nearest_epithelial_mass,adjusted,-0.007946939201137539,1715,17
137T,Donor137,T,noncytokine8,epi_k20,unadjusted,0.15320528338903988,1715,17
137T,Donor137,T,noncytokine8,epi_k20,adjusted,0.09285989421716219,1715,17
137T,Donor137,T,noncytokine8,nearest_epi,unadjusted,0.037436444365988725,1715,17
137T,Donor137,T,noncytokine8,nearest_epi,adjusted,0.023215202202304667,1715,17
137T,Donor137,T,noncytokine8,epithelial_mass_k20,unadjusted,0.09755301838113563,1715,17
137T,Donor137,T,noncytokine8,epithelial_mass_k20,adjusted,0.03141791624474889,1715,17
137T,Donor137,T,noncytokine8,nearest_epithelial_mass,unadjusted,0.07378980262038365,1715,17
137T,Donor137,T,noncytokine8,nearest_epithelial_mass,adjusted,0.027117554265963285,1715,17
137T,Donor137,T,three_gene,epi_k20,unadjusted,0.12512363925760062,1715,17
137T,Donor137,T,three_gene,epi_k20,adjusted,0.10423315318347136,1715,17
137T,Donor137,T,three_gene,nearest_epi,unadjusted,0.01030847909870325,1715,17
137T,Donor137,T,three_gene,nearest_epi,adjusted,0.02810688374034325,1715,17
137T,Donor137,T,three_gene,epithelial_mass_k20,unadjusted,0.07706930997379856,1715,17
137T,Donor137,T,three_gene,epithelial_mass_k20,adjusted,0.05301076086134848,1715,17
137T,Donor137,T,three_gene,nearest_epithelial_mass,unadjusted,0.043352847082928574,1715,17
137T,Donor137,T,three_gene,nearest_epithelial_mass,adjusted,0.044198598348465346,1715,17
142N,Donor142,N,core13,epi_k20,unadjusted,0.135434707618809,2528,22
142N,Donor142,N,core13,epi_k20,adjusted,0.004415051350840955,2528,22
142N,Donor142,N,core13,nearest_epi,unadjusted,0.1302258020061046,2528,22
142N,Donor142,N,core13,nearest_epi,adjusted,-0.02109131359010383,2528,22
142N,Donor142,N,core13,epithelial_mass_k20,unadjusted,0.05562587893218942,2528,22
142N,Donor142,N,core13,epithelial_mass_k20,adjusted,0.00491007655007512,2528,22
142N,Donor142,N,core13,nearest_epithelial_mass,unadjusted,0.1416034018948763,2528,22
142N,Donor142,N,core13,nearest_epithelial_mass,adjusted,0.029833242895003394,2528,22
142N,Donor142,N,noncytokine8,epi_k20,unadjusted,0.1515702369264365,2528,22
142N,Donor142,N,noncytokine8,epi_k20,adjusted,0.002925169627635851,2528,22
142N,Donor142,N,noncytokine8,nearest_epi,unadjusted,0.16147947220643538,2528,22
142N,Donor142,N,noncytokine8,nearest_epi,adjusted,0.00015462520266881885,2528,22
142N,Donor142,N,noncytokine8,epithelial_mass_k20,unadjusted,0.05982021326147396,2528,22
142N,Donor142,N,noncytokine8,epithelial_mass_k20,adjusted,0.0010622512107463246,2528,22
142N,Donor142,N,noncytokine8,nearest_epithelial_mass,unadjusted,0.15934536902238453,2528,22
142N,Donor142,N,noncytokine8,nearest_epithelial_mass,adjusted,0.03706042504885983,2528,22
142N,Donor142,N,three_gene,epi_k20,unadjusted,-0.022381929418421345,2528,22
142N,Donor142,N,three_gene,epi_k20,adjusted,0.030688233170246198,2528,22
142N,Donor142,N,three_gene,nearest_epi,unadjusted,-0.006907332591446907,2528,22
142N,Donor142,N,three_gene,nearest_epi,adjusted,0.028092895045472795,2528,22
142N,Donor142,N,three_gene,epithelial_mass_k20,unadjusted,-0.012303976348339152,2528,22
142N,Donor142,N,three_gene,epithelial_mass_k20,adjusted,0.013543097531228272,2528,22
142N,Donor142,N,three_gene,nearest_epithelial_mass,unadjusted,0.00483634168402108,2528,22
142N,Donor142,N,three_gene,nearest_epithelial_mass,adjusted,0.01960265912173154,2528,22
142T,Donor142,T,core13,epi_k20,unadjusted,0.11757915778029555,1285,15
142T,Donor142,T,core13,epi_k20,adjusted,0.07136388153691586,1285,15
142T,Donor142,T,core13,nearest_epi,unadjusted,-0.007525639475724661,1285,15
142T,Donor142,T,core13,nearest_epi,adjusted,0.002080413524346971,1285,15
142T,Donor142,T,core13,epithelial_mass_k20,unadjusted,0.07648236062614013,1285,15
142T,Donor142,T,core13,epithelial_mass_k20,adjusted,0.04440435578743118,1285,15
142T,Donor142,T,core13,nearest_epithelial_mass,unadjusted,0.07272264956896579,1285,15
142T,Donor142,T,core13,nearest_epithelial_mass,adjusted,0.016346677111356685,1285,15
142T,Donor142,T,noncytokine8,epi_k20,unadjusted,0.12313256362021005,1285,15
142T,Donor142,T,noncytokine8,epi_k20,adjusted,0.0809741223575341,1285,15
142T,Donor142,T,noncytokine8,nearest_epi,unadjusted,0.004022156798481529,1285,15
142T,Donor142,T,noncytokine8,nearest_epi,adjusted,0.013180676831123095,1285,15
142T,Donor142,T,noncytokine8,epithelial_mass_k20,unadjusted,0.09486594750397945,1285,15
142T,Donor142,T,noncytokine8,epithelial_mass_k20,adjusted,0.06667010756091948,1285,15
142T,Donor142,T,noncytokine8,nearest_epithelial_mass,unadjusted,0.08473098693724371,1285,15
142T,Donor142,T,noncytokine8,nearest_epithelial_mass,adjusted,0.033786638261636734,1285,15
142T,Donor142,T,three_gene,epi_k20,unadjusted,0.09422100841119817,1285,15
142T,Donor142,T,three_gene,epi_k20,adjusted,0.10217542565391446,1285,15
142T,Donor142,T,three_gene,nearest_epi,unadjusted,-0.0170436761547134,1285,15
142T,Donor142,T,three_gene,nearest_epi,adjusted,0.01927496771670967,1285,15
142T,Donor142,T,three_gene,epithelial_mass_k20,unadjusted,0.06583427417835036,1285,15
142T,Donor142,T,three_gene,epithelial_mass_k20,adjusted,0.07667708406115727,1285,15
142T,Donor142,T,three_gene,nearest_epithelial_mass,unadjusted,0.020464829977519493,1285,15
142T,Donor142,T,three_gene,nearest_epithelial_mass,adjusted,0.018552982356186833,1285,15
150T,Donor150,T,core13,epi_k20,unadjusted,0.11638382493150036,1290,14
150T,Donor150,T,core13,epi_k20,adjusted,0.0026516418914569783,1290,14
150T,Donor150,T,core13,nearest_epi,unadjusted,0.13015159946022078,1290,14
150T,Donor150,T,core13,nearest_epi,adjusted,0.042970643973146344,1290,14
150T,Donor150,T,core13,epithelial_mass_k20,unadjusted,0.09745866626068381,1290,14
150T,Donor150,T,core13,epithelial_mass_k20,adjusted,0.0230249383597615,1290,14
150T,Donor150,T,core13,nearest_epithelial_mass,unadjusted,0.18358344828329912,1290,14
150T,Donor150,T,core13,nearest_epithelial_mass,adjusted,0.05456065275843694,1290,14
150T,Donor150,T,noncytokine8,epi_k20,unadjusted,0.11714458155981675,1290,14
150T,Donor150,T,noncytokine8,epi_k20,adjusted,0.008889539895162215,1290,14
150T,Donor150,T,noncytokine8,nearest_epi,unadjusted,0.1277700883291142,1290,14
150T,Donor150,T,noncytokine8,nearest_epi,adjusted,0.046171761516788715,1290,14
150T,Donor150,T,noncytokine8,epithelial_mass_k20,unadjusted,0.0967805237745397,1290,14
150T,Donor150,T,noncytokine8,epithelial_mass_k20,adjusted,0.024168152689972126,1290,14
150T,Donor150,T,noncytokine8,nearest_epithelial_mass,unadjusted,0.18404746375321138,1290,14
150T,Donor150,T,noncytokine8,nearest_epithelial_mass,adjusted,0.06123900921890689,1290,14
150T,Donor150,T,three_gene,epi_k20,unadjusted,0.02915642569513215,1290,14
150T,Donor150,T,three_gene,epi_k20,adjusted,-0.00610098151999274,1290,14
150T,Donor150,T,three_gene,nearest_epi,unadjusted,0.03250618273314452,1290,14
150T,Donor150,T,three_gene,nearest_epi,adjusted,0.009646873229817927,1290,14
